X,Y,OBJECTID,sitename,sitedesc,streetaddr,building_s,city,county,state,zip,phonenumbe,tollfree_n,website,latitude,longitude,enrollment,grades_deg
-8558252.5323,4752342.3199,13,Howard Community College,"A public institution with the mission to help anyone with an educational goal. Including getting a two-year degree, starting a four-year degree at HCC, entering a new career, sharpening job skills or exploring personal interests.",10901 Little Patuxent Parkway, ,Columbia,Howard,MD,21044,443-518-1000, ,http://www.howardcc.edu,39.213795,-76.880090,"10,150",Certificates & Associate's
-8589357.4903,4735710.0035,14,Montgomery College - Rockville Campus,"A two-year public institution serving nearly 60,000 students a year as they pursue a wide variety of educational goals. 130 majors and programs are offered on three campuses throughout Montgomery County.",51 Mannakee Street, ,Rockville,Montgomery,MD,20850,240-567-5000, ,http://cms.montgomerycollege.edu/edu/,39.097937,-77.159511,"27,453",Certificates & Associate's
-8552253.1672,4705763.5364,15,Prince George's Community College,"Providing high-quality educational opportunities with more than 100 programs of study, inlcuding distance learning options, prepare students to embark on a new career, upgrade employment skills or transfer to a four-year institution.",301 Largo Road, ,Largo,Prince George's,MD,20774,301-336-6000, ,http://www.pgcc.edu,38.888855,-76.826197,"13,665",Certificates & Associate's
-8404776.9742,4632371.8515,16,Wor-Wic Community College,"Provides a supportive learning environment that promotes student success through excellence in instruction, programs and services that meet the diverse needs and exceed the expectations of the residents of Maryland's Lower Shore.",32000 Campus Drive, ,Salisbury,Wicomico,MD,21804,410-334-2800, ,http://www.worwic.edu,38.373836,-75.501396,"3,739",Certificates & Associate's
-8572561.0975,4658835.6781,17,College of Southern Maryland - La Plata Campus,"1 of 3 main campus locations, making up this public, regional community college system. The LaPlata Campus offers high-tech computer laboratories and state-of-the-art conference center. Providing access to over 120 programs of study.",8730 Mitchell Road,P.O. Box 910,LaPlata,Charles,MD,20646,301-934-2251, ,http://www.csmd.edu,38.559970,-77.008626,"9,210",Certificates & Associate's
-8530745.5358,4621587.843,18,College of Southern Maryland - Leonardtown Campus,"1 of 3 main campus locations, making up this public, regional community college system. The Leonardtown Campus offers advanced technology, electronics and physiology science labs. Providing access to over 120 programs of study.",22950 Hollywood Road, ,Leonardtown,St. Mary's,MD,20650,240-725-5300, ,http://www.csmd.edu,38.297849,-76.632990,See La Plata Campus for Enrollment Numbers,Certificates & Associate's
-8517358.031,4759859.4786,19,Community College of Baltimore County - Dundalk Campus,"Provides an accessible, affordable and high-quality education that prepares students for transfer and career success, strengthens the regional work force and enriches the community.",7200 Sollers Point Road, ,Baltimore,Baltimore,MD,21222,443-840-2222, ,http://www.ccbcmd.edu,39.266095,-76.512728,See Catonsville Campus for Enrollment Numbers,Certificates & Associate's
-8513883.2596,4772394.0015,20,Community College of Baltimore County - Essex Campus,"Provides an accessible, affordable and high-quality education that prepares students for transfer and career success, strengthens the regional work force and enriches the community.",7201 Rossville Boulevard, ,Baltimore,Baltimore,MD,21237,443-840-2222, ,http://www.ccbcmd.edu,39.353217,-76.481514,See Catonsville Campus for Enrollment Numbers,Certificates & Associate's
-8599173.1159,4748488.2881,21,Montgomery College - Germantown Campus,"A two-year public institution serving nearly 60,000 students a year as they pursue a wide variety of educational goals. 130 majors and programs are offered on three campuses throughout Montgomery County.",20200 Observation Drive, ,Germantown,Montgomery,MD,20876,240-567-7700, ,http://cms.montgomerycollege.edu/edu/,39.186965,-77.247686,See Rockville Campus for Enrollment Numbers,Certificates & Associate's
-8574101.4264,4719542.4579,22,Montgomery College - Takoma Park/Silver Spring Campus,"A two-year public institution serving nearly 60,000 students a year as they pursue a wide variety of educational goals. 130 majors and programs are offered on three campuses throughout Montgomery County.",7600 Takoma Avenue, ,Takoma Park,Montgomery,MD,20912,240-567-1300, ,http://cms.montgomerycollege.edu/edu/,38.985134,-77.022463,See Rockville Campus for Enrollment Numbers,Certificates & Associate's
